objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Fruit Fight","339214","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","112959216","6.33992","7.06381","1.023","1757","6663","thing","Fruit Fight","2","5","20","20","20","2021","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Furnace: Interbellum","363077","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959349","5.97954","7.66388","2.7895","0","4233","thing","Furnace: Interbellum","1","5","60","60","30","2022","1,2,3,4,5","3,4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"The Game","173090","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959623","6.49968","6.71205","1.2379","1346","26103","thing","The Game","1","5","20","20","20","2015","1,2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Genoa","1345","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","17512675","6.58251","7.03651","3.0752","1148","8188","thing","Genoa","2","5","120","120","60","2001","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Genoa","1345","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","17512678","6.58251","7.03651","3.0752","1148","8188","thing","Genoa","2","5","120","120","60","2001","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Goblin Vaults","334652","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","114586166","5.81907","7.14004","2.2","4641","1638","thing","Goblin Vaults","1","5","45","45","30","2023","1,2,3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Grand Austria Hotel","182874","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","112564145","7.71533","7.96294","3.1924","69","33411","thing","Grand Austria Hotel","2","4","120","120","60","2015","2,3","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hegemony: Lead Your Class to Victory","321608","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957202","7.82695","8.35384","4.2569","41","19749","thing","Hegemony: Lead Your Class to Victory","2","4","180","180","90","2023","2,3,4","4","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Iberian Gauge","228372","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957601","6.29094","7.25135","2.5","1935","3677","thing","Iberian Gauge","3","5","90","90","60","2017","4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperial Miners","378758","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957654","6.16824","7.06638","2.0323","2373","3862","thing","Imperial Miners","1","5","60","60","20","2023","1,2,3,4,5","1,2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperial Settlers","154203","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957504","7.08762","7.2816","2.7739","408","34529","thing","Imperial Settlers","1","4","90","90","45","2014","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"An Infamous Traffic","206490","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","108486748","5.94595","7.26292","3.5405","3556","1102","thing","An Infamous Traffic","2","5","90","90","45","2016","3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Innovation","63888","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959589","7.11564","7.32769","2.7839","382","27849","thing","Innovation","2","5","60","60","20","2010","2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Insider Black","307997","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959579","5.77935","7.20339","1.1429","5094","1649","thing","Insider Black","4","8","15","15","10","2020","4,5,6,7,8","6,7,8","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Junk Art","193042","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959617","6.90196","7.34408","1.193","625","12235","thing","Junk Art","2","6","30","30","30","2016","2,3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Waterdeep","110327","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957312","7.57949","7.72868","2.448","108","75289","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
